dist_meters,inputid,nearid,year
3377978.87951,3,1413,1970
3376979.5899,4,1413,1970
3350473.46675,6,1413,1970
3308021.93968,11,1413,1970
3364394.86123,14,1413,1970
3312814.73624,15,1413,1970
1477293.5769200001,17,1413,1970
1372697.8673399999,18,1413,1970
1440902.14175,21,1413,1970
2582969.26523,23,1413,1970
1359808.37107,59,1413,1970
1350565.54231,60,1413,1970
1358883.2991,61,1413,1970
1352196.34431,62,1413,1970
1357317.59778,63,1413,1970
1350649.09905,64,1413,1970
1355065.9853100001,65,1413,1970
1351085.53244,66,1413,1970
1353011.30256,67,1413,1970
1356251.50646,69,1413,1970
1355704.90184,70,1413,1970
1350386.4584,71,1413,1970
1354638.6440299999,72,1413,1970
1350442.77851,73,1413,1970
1352552.14783,75,1413,1970
